Performance - DF2-SS-6.0,Unnamed: 0,Unnamed: 1
Pull-out values (axial load resistance),,
Substrate,Characteristic Value,Design Value
0.5mm steel*,0.69 kN,0.51 kN
1.2mm steel*,2.67 kN,2.00 kN
2.0mm steel*,4.83 kN,3.63 kN
